1,Adilabad,32,Telangana
2,Agra,34,Uttar Pradesh
3,Ahmed Nagar,21,Maharashtra
4,Ahmedabad City,12,Gujarat
5,Aizawl,24,Mizoram
6,Ajmer,29,Rajasthan
7,Akola,21,Maharashtra
8,Aligarh,34,Uttar Pradesh
9,Allahabad,34,Uttar Pradesh
10,Alleppey,18,Kerala
11,Almora,35,Uttarakhand
12,Alwar,29,Rajasthan
13,Alwaye,18,Kerala
14,Amalapuram,2,Andhra Pradesh
15,Ambala,13,Haryana
16,Ambedkar Nagar,34,Uttar Pradesh
17,Amravati,21,Maharashtra
18,Amreli,12,Gujarat
19,Amritsar,28,Punjab
20,Anakapalle,2,Andhra Pradesh
21,Anand,12,Gujarat
22,Anantapur,2,Andhra Pradesh
23,Ananthnag,15,Jammu & Kashmir
24,Anna Road H.O,31,Tamil Nadu
25,Arakkonam,31,Tamil Nadu
26,Asansol,36,West Bengal
27,Aska,26,Odisha
28,Auraiya,34,Uttar Pradesh
29,Aurangabad,21,Maharashtra
30,Aurangabad(Bihar),5,Bihar
31,Azamgarh,34,Uttar Pradesh
32,Bagalkot,17,Karnataka
33,Bageshwar,35,Uttarakhand
34,Bagpat,34,Uttar Pradesh
35,Bahraich,34,Uttar Pradesh
36,Balaghat,20,Madhya Pradesh
37,Balangir,26,Odisha
38,Balasore,26,Odisha
39,Ballia,34,Uttar Pradesh
40,Balrampur,34,Uttar Pradesh
41,Banasanktha,12,Gujarat
42,Banda,34,Uttar Pradesh
43,Bandipur,15,Jammu & Kashmir
44,Bankura,36,West Bengal
45,Banswara,29,Rajasthan
46,Barabanki,34,Uttar Pradesh
47,Baramulla,15,Jammu & Kashmir
48,Baran,29,Rajasthan
49,Bardoli,12,Gujarat
50,Bareilly,34,Uttar Pradesh
51,Barmer,29,Rajasthan
52,Barnala,28,Punjab
53,Barpeta,4,Assam
54,Bastar,7,Chattisgarh
55,Basti,34,Uttar Pradesh
56,Bathinda,28,Punjab
57,Beed,21,Maharashtra
58,Begusarai,5,Bihar
59,Belgaum,17,Karnataka
60,Bellary,17,Karnataka
61,Bengaluru East,17,Karnataka
62,Bengaluru South,17,Karnataka
63,Bengaluru West,17,Karnataka
64,Berhampur,26,Odisha
65,Bhadrak,26,Odisha
66,Bhagalpur,5,Bihar
67,Bhandara,21,Maharashtra
68,Bharatpur,29,Rajasthan
69,Bharuch,12,Gujarat
70,Bhavnagar,12,Gujarat
71,Bhilwara,29,Rajasthan
72,Bhimavaram,2,Andhra Pradesh
73,Bhiwani,13,Haryana
74,Bhojpur,5,Bihar
75,Bhopal,20,Madhya Pradesh
76,Bhubaneswar,26,Odisha
77,Bidar,17,Karnataka
78,Bijapur,17,Karnataka
79,Bijnor,34,Uttar Pradesh
80,Bikaner,29,Rajasthan
81,Bilaspur,7,Chattisgarh
82,Birbhum,36,West Bengal
83,Bishnupur,22,Manipur
84,Bongaigaon,4,Assam
85,Budaun,34,Uttar Pradesh
86,Budgam,15,Jammu & Kashmir
87,Bulandshahr,34,Uttar Pradesh
88,Buldhana,21,Maharashtra
89,Bundi,29,Rajasthan
90,Burdwan,36,West Bengal
91,Cachar,4,Assam
92,Calicut,18,Kerala
93,Carnicobar,1,Andaman & Nicobar Islands
94,Chamba,14,Himachal Pradesh
95,Chamoli,35,Uttarakhand
96,Champawat,35,Uttarakhand
97,Champhai,24,Mizoram
98,Chandauli,34,Uttar Pradesh
99,Chandel,22,Manipur
100,Chandigarh,6,Chandigarh
101,Chandrapur,21,Maharashtra
102,Changanacherry,18,Kerala
103,Changlang,3,Arunachal Pradesh
104,Channapatna,17,Karnataka
105,Chengalpattu,31,Tamil Nadu
106,Chennai City Central,31,Tamil Nadu
107,Chennai City North,31,Tamil Nadu
108,Chennai City South,31,Tamil Nadu
109,Chhatarpur,20,Madhya Pradesh
110,Chhindwara,20,Madhya Pradesh
111,Chikmagalur,17,Karnataka
112,Chikodi,17,Karnataka
113,Chitradurga,17,Karnataka
114,Chitrakoot,34,Uttar Pradesh
115,Chittoor,2,Andhra Pradesh
116,Chittorgarh,29,Rajasthan
117,Churachandpur,22,Manipur
118,Churu,29,Rajasthan
119,Coimbatore,31,Tamil Nadu
120,Contai,36,West Bengal
121,Cooch Behar,36,West Bengal
122,Cuddalore,31,Tamil Nadu
123,Cuddapah,2,Andhra Pradesh
124,Cuttack City,26,Odisha
125,Cuttack North,26,Odisha
126,Cuttack South,26,Odisha
127,Dadra & Nagar Haveli,8,Dadra & Nagar Haveli
128,Daman,9,Daman & Diu
129,Darbhanga,5,Bihar
130,Darjiling,36,West Bengal
131,Darrang,4,Assam
132,Dausa,29,Rajasthan
